id,country,segment,signup_date
93,Canada,smb,2024-03-19
94,Netherlands,enterprise,2023-01-25
95,Italy,mid-market,2023-08-28
96,Germany,mid-market,2022-05-03
97,Japan,consumer,2022-03-08
98,Australia,mid-market,2021-03-23
99,USA,enterprise,2021-09-29
100,Canada,enterprise,2023-12-03
101,Sweden,smb,2024-02-03
102,France,enterprise,2021-05-09
103,Japan,consumer,2022-12-16
104,France,mid-market,2024-07-12
105,USA,consumer,2021-08-08
106,France,smb,2022-04-24
107,Italy,smb,2024-10-26
108,Netherlands,enterprise,2021-10-09
109,Spain,consumer,2022-06-24
110,France,consumer,2022-06-13
111,Germany,enterprise,2021-06-10
112,Australia,mid-market,2022-12-05
113,Canada,consumer,2023-01-24
114,Japan,smb,2022-06-09
115,France,mid-market,2024-02-16
116,Japan,mid-market,2024-04-24
117,Sweden,consumer,2021-07-11
118,Brazil,consumer,2024-01-21
119,France,smb,2022-11-22
120,Canada,consumer,2023-11-02
121,Italy,smb,2023-12-30
122,USA,mid-market,2022-07-08
123,,smb,2021-09-10
124,Spain,smb,2023-02-22
125,USA,mid-market,2024-05-13
126,UK,enterprise,2023-12-09
127,Italy,smb,2024-04-05
128,,consumer,2021-05-15
129,,enterprise,2023-08-21
130,Brazil,smb,2023-06-02
131,Australia,consumer,2024-08-20
132,,consumer,2023-02-16
133,,consumer,2021-03-30
134,Germany,consumer,2023-04-10
135,Japan,consumer,2022-04-20
136,Canada,enterprise,2024-03-10
137,UK,smb,2024-05-06
138,Italy,consumer,2021-12-23
139,Brazil,mid-market,2024-08-28
140,Italy,enterprise,2023-02-12
141,UK,mid-market,2023-08-25
142,Canada,smb,2024-11-09
143,Canada,smb,2022-10-14
144,Spain,mid-market,2021-01-15
145,Japan,consumer,2024-08-23
146,Spain,consumer,2021-08-21
147,Japan,mid-market,2022-10-02
148,Netherlands,consumer,2022-01-04
149,,enterprise,2024-07-14
150,France,consumer,2021-06-04
151,Netherlands,consumer,2024-11-16
152,UK,enterprise,2021-04-09
153,Germany,consumer,2022-04-11
154,Germany,consumer,2023-07-25
155,Canada,consumer,2024-11-22
156,France,consumer,2022-06-18
157,Japan,smb,2024-07-27
158,Australia,enterprise,2022-06-22
159,USA,consumer,2021-10-23
160,Netherlands,consumer,2023-11-06
161,Brazil,consumer,2023-12-18
162,Spain,smb,2024-01-11
163,Sweden,smb,2024-01-07
164,Spain,mid-market,2024-06-18
165,Italy,consumer,2023-12-01
166,Italy,enterprise,2022-04-08
167,Japan,consumer,2023-09-15
168,Netherlands,consumer,2021-10-12
169,Spain,smb,2021-08-16
170,Canada,smb,2021-11-10
171,Japan,mid-market,2022-10-01
172,Canada,consumer,2023-08-26
173,Sweden,consumer,2021-03-07
174,Spain,smb,2024-02-05
175,Japan,mid-market,2023-01-20
176,UK,mid-market,2023-02-05
177,UK,smb,2021-12-02
178,Italy,consumer,2022-09-21
179,Canada,consumer,2021-09-14
180,Brazil,mid-market,2021-03-22
181,Spain,consumer,2023-05-08
182,Italy,smb,2021-05-27
183,UK,consumer,2024-03-28
184,Netherlands,mid-market,2021-03-27
185,Spain,consumer,2024-03-16
186,,consumer,2021-07-02
187,Spain,mid-market,2023-05-09
188,UK,consumer,2021-01-15
189,Canada,consumer,2024-05-27
190,Spain,mid-market,2023-01-18
191,USA,enterprise,2021-04-17
192,Spain,consumer,2024-09-24
193,Brazil,mid-market,2023-11-09
194,France,enterprise,2024-08-02
195,UK,smb,2023-08-18
196,,consumer,2023-05-09
197,Brazil,mid-market,2022-06-07
198,Sweden,mid-market,2023-11-20
199,Canada,consumer,2024-04-13
200,Spain,smb,2024-03-28
201,Australia,consumer,2021-02-22
202,Germany,smb,2021-01-31
203,Japan,consumer,2024-01-12
204,Brazil,consumer,2024-02-19
205,Japan,enterprise,2024-09-14
206,Japan,consumer,2021-01-22
207,Brazil,smb,2022-01-29
208,UK,mid-market,2021-11-10
209,Brazil,mid-market,2023-10-02
210,Japan,consumer,2022-05-05
211,Canada,enterprise,2024-09-06
212,Canada,mid-market,2022-03-15
213,Germany,mid-market,2022-08-03
214,Netherlands,smb,2023-08-03
215,,smb,2022-01-23
216,,smb,2022-04-27
217,Canada,mid-market,2023-02-26
218,USA,enterprise,2024-03-03
219,Netherlands,consumer,2024-10-29
220,Canada,smb,2021-02-23
221,Australia,consumer,2023-10-16
222,Spain,enterprise,2023-09-16
223,France,enterprise,2022-03-07
224,Canada,mid-market,2023-11-23
225,Canada,smb,2023-05-30
226,Brazil,smb,2022-01-22
227,Canada,consumer,2022-07-11
228,USA,smb,2022-04-13
229,Netherlands,smb,2024-11-26
230,USA,smb,2023-02-08
231,Canada,enterprise,2023-01-04
232,Sweden,smb,2022-05-18
233,Australia,smb,2024-04-24
234,Brazil,smb,2024-04-12
235,USA,enterprise,2021-11-08
236,USA,consumer,2022-03-19
237,Spain,consumer,2021-08-28
238,Sweden,enterprise,2023-11-01
239,France,consumer,2020-11-27
240,Australia,consumer,2023-10-28
241,Germany,mid-market,2022-04-21
242,Italy,consumer,2024-04-08
243,Germany,consumer,2021-03-23
244,Italy,consumer,2023-08-02
245,Italy,consumer,2021-09-10
246,USA,enterprise,2023-08-04
247,Brazil,smb,2021-09-27
248,Japan,smb,2023-02-04
249,Canada,mid-market,2024-09-02
250,UK,mid-market,2024-02-27
251,Australia,consumer,2022-03-04
252,Australia,enterprise,2024-02-23
253,Canada,smb,2023-10-25
254,Spain,consumer,2022-09-28
255,Australia,mid-market,2023-11-27
256,Brazil,smb,2024-05-27
257,USA,consumer,2022-05-30
258,UK,smb,2022-02-24
259,,mid-market,2021-12-21
260,France,enterprise,2021-02-14
261,Italy,consumer,2024-06-02
262,Japan,mid-market,2023-03-16
263,France,smb,2023-12-25
264,Italy,enterprise,2021-04-18
265,Germany,smb,2022-10-01
266,Brazil,consumer,2024-07-11
267,Germany,smb,2022-02-19
268,Canada,consumer,2024-09-30
269,USA,mid-market,2023-10-26
270,Canada,smb,2022-01-07
271,Japan,consumer,2022-11-20
272,Australia,smb,2021-11-10
273,Australia,mid-market,2022-08-16
274,Germany,consumer,2021-07-12
275,Canada,smb,2022-08-29
276,Netherlands,smb,2024-09-10
277,Canada,consumer,2024-08-20
278,Australia,mid-market,2021-10-17
279,Brazil,mid-market,2024-10-07
280,Spain,enterprise,2023-05-29
281,France,smb,2024-11-09
282,France,mid-market,2023-09-14
283,Spain,consumer,2022-07-12
284,Japan,mid-market,2024-03-23
285,Brazil,consumer,2023-01-17
286,Italy,mid-market,2020-11-29
287,Germany,smb,2024-08-21
288,Brazil,smb,2024-08-31
289,Netherlands,consumer,2023-10-31
290,Canada,smb,2021-08-05
291,Sweden,smb,2023-04-16
292,,consumer,2022-05-07
293,Australia,smb,2024-10-14
294,Italy,mid-market,2021-12-18
295,Canada,consumer,2024-08-25
296,Spain,smb,2022-01-21
297,France,enterprise,2024-04-29
298,,smb,2021-06-20
299,France,mid-market,2023-09-24
300,France,mid-market,2024-03-07
301,Australia,consumer,2023-07-27
302,,mid-market,2024-12-01
303,Germany,consumer,2024-04-04
304,Australia,consumer,2022-07-07
305,USA,consumer,2023-09-17
306,UK,consumer,2023-07-01
307,Sweden,consumer,2021-09-03
308,UK,consumer,2024-06-04
309,Sweden,smb,2023-05-01
310,Australia,mid-market,2024-03-04
311,USA,smb,2022-12-24
312,USA,smb,2023-08-03
313,Canada,mid-market,2024-09-26
314,Brazil,consumer,2024-08-21
315,,enterprise,2021-06-29
316,Italy,consumer,2024-09-10
317,Italy,mid-market,2021-10-09
318,Sweden,enterprise,2021-03-27
319,,enterprise,2023-01-18
320,France,mid-market,2023-09-01
321,Netherlands,mid-market,2021-10-18
322,Sweden,enterprise,2020-12-20
323,France,mid-market,2024-06-08
324,Spain,mid-market,2021-01-15
325,Japan,smb,2021-02-14
326,Netherlands,smb,2024-05-07
327,,mid-market,2024-09-13
328,USA,mid-market,2022-01-17
329,Brazil,enterprise,2024-08-10
330,Italy,enterprise,2022-07-03
331,Canada,mid-market,2024-08-29
332,Brazil,consumer,2022-02-21
333,Canada,consumer,2023-12-28
334,Germany,consumer,2024-07-14
335,Italy,smb,2024-08-27
336,France,smb,2024-02-29
337,Brazil,mid-market,2022-09-30
338,Germany,consumer,2024-08-12
339,Italy,consumer,2021-09-10
340,Spain,consumer,2022-06-28
341,Germany,consumer,2023-09-22
342,France,smb,2020-12-13
343,Brazil,consumer,2022-04-09
344,Canada,consumer,2022-03-21
345,Germany,mid-market,2024-03-22
346,Spain,consumer,2022-01-23
347,Germany,enterprise,2022-09-02
348,Japan,consumer,2020-12-16
349,Spain,consumer,2022-12-31
350,Canada,enterprise,2022-03-12
351,Germany,consumer,2023-07-20
352,USA,enterprise,2024-10-04
353,Brazil,consumer,2024-05-28
354,Netherlands,consumer,2021-06-07
355,Canada,consumer,2021-12-13
356,Australia,consumer,2023-06-15
357,,enterprise,2022-02-11
358,,mid-market,2024-11-26
359,Spain,smb,2024-10-09
360,Italy,enterprise,2022-11-18
361,France,smb,2022-05-29
362,Italy,mid-market,2021-02-24
363,Spain,smb,2021-11-12
364,USA,smb,2023-11-20
365,Germany,consumer,2021-08-22
366,Brazil,mid-market,2022-12-11
367,Spain,consumer,2021-08-06
368,Canada,smb,2024-03-22
369,Italy,mid-market,2024-10-25
370,Canada,smb,2024-09-09
371,Netherlands,smb,2020-12-07
372,USA,mid-market,2024-08-06
373,Germany,smb,2021-02-21
374,Sweden,mid-market,2021-12-30
375,Brazil,smb,2024-05-02
376,UK,smb,2021-06-11
377,Brazil,smb,2024-05-05
378,Australia,consumer,2024-05-06
379,Spain,mid-market,2022-08-09
380,USA,consumer,2023-10-06
381,UK,consumer,2023-10-02
382,Canada,consumer,2024-02-20
383,Japan,consumer,2022-06-23
384,Australia,mid-market,2024-10-24
385,Australia,smb,2023-12-08
386,France,mid-market,2022-09-11
387,UK,consumer,2022-12-18
388,USA,smb,2022-02-08
389,USA,mid-market,2024-01-20
390,Australia,consumer,2022-04-25
391,Canada,enterprise,2021-11-11
392,France,smb,2023-05-12
393,Sweden,consumer,2023-11-21
394,Brazil,enterprise,2022-09-09
395,USA,smb,2022-08-05
396,Australia,consumer,2024-07-17
397,Australia,enterprise,2022-08-25
398,Brazil,smb,2024-04-20
399,Sweden,mid-market,2022-08-19
400,Spain,consumer,2021-03-04
401,Japan,enterprise,2022-10-05
402,Italy,consumer,2021-11-09
403,Canada,consumer,2023-09-04
404,USA,mid-market,2021-03-17
405,Germany,mid-market,2021-08-26
406,,smb,2021-03-26
407,UK,consumer,2021-12-08
408,UK,smb,2022-04-23
409,Japan,mid-market,2022-10-23
410,Germany,enterprise,2021-03-09
411,Brazil,consumer,2021-07-05
412,UK,smb,2023-03-31
413,Germany,consumer,2024-07-30
414,Canada,smb,2024-11-27
415,Germany,consumer,2023-12-25
416,France,enterprise,2024-09-02
417,Sweden,enterprise,2024-01-27
418,Australia,consumer,2024-06-25
419,France,consumer,2020-12-21
420,Sweden,mid-market,2024-07-15
421,Brazil,smb,2022-05-26
422,Japan,smb,2023-07-04
423,France,smb,2024-03-21
424,Canada,mid-market,2022-02-06
425,Netherlands,consumer,2021-01-06
426,Australia,mid-market,2021-09-27
427,Spain,consumer,2020-12-30
428,Canada,enterprise,2022-07-19
429,Netherlands,enterprise,2022-03-18
430,France,consumer,2024-05-01
431,Canada,mid-market,2021-06-28
432,Japan,consumer,2021-11-29
433,UK,enterprise,2023-11-25
434,Brazil,consumer,2023-06-30
435,Spain,consumer,2022-06-18
436,Brazil,consumer,2024-11-13
437,Canada,mid-market,2021-08-18
438,Australia,mid-market,2023-10-17
439,Germany,smb,2024-08-14
440,,smb,2023-08-05
441,Italy,mid-market,2021-07-23
442,Sweden,enterprise,2023-10-26
443,Japan,smb,2022-10-02
444,Italy,mid-market,2021-08-27
445,Italy,smb,2024-10-14
446,Italy,mid-market,2021-11-11
447,Australia,mid-market,2023-10-05
448,Spain,consumer,2022-02-14
449,UK,smb,2024-03-01
450,Spain,smb,2024-05-12
451,Germany,smb,2021-10-01
452,Spain,consumer,2021-09-02
453,France,smb,2020-12-21
454,France,smb,2022-03-13
455,Sweden,consumer,2023-01-18
456,USA,smb,2024-02-20
457,Brazil,consumer,2023-09-26
458,Japan,consumer,2022-04-25
459,Sweden,enterprise,2023-07-13
460,Italy,smb,2022-12-23
461,Germany,consumer,2024-03-30
462,Canada,consumer,2023-02-26
463,Australia,smb,2023-12-19
464,Netherlands,enterprise,2024-06-21
465,France,smb,2024-05-23
466,USA,mid-market,2022-11-02
467,UK,consumer,2023-06-13
468,France,smb,2024-07-09
469,Australia,consumer,2022-11-07
470,Germany,consumer,2024-04-05
471,UK,consumer,2024-11-10
472,Canada,consumer,2024-05-22
473,Japan,consumer,2023-02-12
474,Germany,consumer,2021-01-30
475,Spain,consumer,2023-12-13
476,Brazil,enterprise,2023-10-11
477,Netherlands,smb,2023-12-12
478,Canada,mid-market,2023-06-29
479,Australia,consumer,2022-01-13
480,Canada,consumer,2023-08-17
481,USA,smb,2022-04-11
482,Germany,mid-market,2021-04-22
483,Brazil,mid-market,2021-02-11
484,USA,consumer,2022-08-28
485,,mid-market,2022-01-19
486,France,enterprise,2021-03-22
487,Canada,consumer,2021-10-03
488,USA,consumer,2023-09-19
489,,mid-market,2024-05-22
490,Germany,mid-market,2024-06-17
491,France,consumer,2021-05-16
492,Brazil,consumer,2022-09-07
493,Spain,consumer,2023-09-24
494,Australia,mid-market,2023-07-14
495,UK,mid-market,2023-10-15
496,Brazil,enterprise,2021-09-11
497,Netherlands,consumer,2022-06-16
498,Netherlands,enterprise,2021-05-20
499,Japan,enterprise,2023-09-16
500,,consumer,2023-01-08
501,Brazil,consumer,2024-06-07
502,Japan,consumer,2021-01-05
503,Australia,smb,2022-11-11
504,Netherlands,smb,2022-09-12
505,Netherlands,smb,2023-04-04
506,Australia,mid-market,2023-10-31
507,Netherlands,smb,2021-02-07
508,Canada,smb,2022-12-15
509,France,smb,2022-03-17
510,Spain,consumer,2024-10-09
511,France,consumer,2023-10-24
512,France,enterprise,2021-09-08
513,Italy,smb,2024-07-26
514,,mid-market,2024-07-06
515,Spain,smb,2021-08-30
516,Italy,mid-market,2023-09-06
517,Netherlands,mid-market,2023-10-27
518,Canada,consumer,2022-08-24
519,Australia,smb,2024-02-20
520,Spain,consumer,2024-09-30
521,UK,enterprise,2024-11-26
522,Japan,enterprise,2024-08-08
523,France,smb,2024-04-13
524,Brazil,enterprise,2022-02-13
525,Italy,mid-market,2023-09-22
526,Germany,consumer,2024-08-19
527,Netherlands,mid-market,2024-11-11
528,UK,mid-market,2023-01-01
529,Germany,smb,2021-07-17
530,Netherlands,smb,2023-07-24
531,Germany,smb,2024-08-31
532,Sweden,smb,2024-01-02
533,France,consumer,2022-11-29
534,Italy,mid-market,2024-02-29
535,Japan,smb,2020-12-25
536,Germany,consumer,2021-11-06
537,Japan,consumer,2023-07-15
538,Sweden,smb,2021-02-03
539,Australia,smb,2023-08-13
540,Germany,enterprise,2024-05-10
541,Sweden,mid-market,2021-02-22
542,Canada,enterprise,2021-01-22
543,Japan,consumer,2023-08-31
544,Germany,mid-market,2022-07-12
545,Japan,consumer,2024-03-23
546,France,enterprise,2022-05-04
547,Netherlands,consumer,2022-02-22
548,Italy,consumer,2022-01-24
549,Brazil,enterprise,2022-08-19
550,Brazil,enterprise,2022-02-01
551,USA,enterprise,2022-09-09
552,Brazil,consumer,2021-08-15
553,Canada,mid-market,2024-03-14
554,Italy,smb,2022-12-23
555,UK,smb,2023-03-31
556,Canada,consumer,2022-10-10
557,France,smb,2024-05-08
558,Italy,smb,2023-08-14
559,Brazil,consumer,2021-01-30
560,Italy,mid-market,2024-07-01
561,Canada,consumer,2022-05-14
562,Italy,enterprise,2022-03-31
563,Canada,smb,2023-01-05
564,USA,consumer,2024-10-14
565,Sweden,consumer,2024-10-13
566,Netherlands,consumer,2023-10-24
567,Germany,mid-market,2024-07-05
568,Germany,smb,2024-07-17
569,Sweden,smb,2024-04-11
570,Netherlands,smb,2024-02-26
571,Netherlands,smb,2021-07-19
572,USA,mid-market,2022-05-09
573,Netherlands,mid-market,2024-10-19
574,Canada,mid-market,2022-05-24
575,USA,smb,2024-05-16
576,Italy,mid-market,2023-03-25
577,Italy,consumer,2024-10-08
578,Australia,consumer,2024-07-23
579,UK,mid-market,2024-05-22
580,Italy,consumer,2023-03-06
581,Sweden,consumer,2023-01-22
582,USA,mid-market,2023-07-03
583,Japan,mid-market,2022-06-05
584,Japan,enterprise,2022-01-08
585,Sweden,enterprise,2021-12-27
586,,consumer,2022-08-04
587,Sweden,consumer,2022-09-23
588,Japan,enterprise,2022-12-11
589,Australia,consumer,2023-12-19
590,Italy,enterprise,2022-12-18
591,Italy,smb,2024-11-18
592,Netherlands,consumer,2021-01-12
593,Germany,smb,2023-06-07
594,Australia,enterprise,2021-11-17
595,Japan,smb,2021-01-26
596,Netherlands,consumer,2022-12-03
597,UK,mid-market,2021-06-15
598,Spain,mid-market,2022-12-29
599,Italy,mid-market,2024-05-22
600,Netherlands,smb,2024-10-25
601,,smb,2024-05-17
602,Sweden,consumer,2021-02-16
603,Canada,consumer,2023-01-04
604,Canada,consumer,2023-08-21
605,Sweden,consumer,2023-02-16
606,Spain,mid-market,2023-11-22
607,Netherlands,smb,2021-06-02
608,Italy,mid-market,2020-11-24
609,Netherlands,mid-market,2024-07-31
610,Japan,consumer,2022-01-11
611,Spain,consumer,2023-07-28
612,Brazil,consumer,2024-09-24
613,USA,smb,2021-03-18
614,Sweden,smb,2024-09-03
615,Italy,smb,2024-02-04
616,Italy,enterprise,2024-10-26
617,Brazil,mid-market,2023-01-10
618,Germany,smb,2022-07-05
619,Netherlands,enterprise,2023-08-19
620,Sweden,consumer,2024-08-19
621,Spain,mid-market,2024-06-15
622,France,mid-market,2021-03-01
623,Spain,consumer,2021-09-05
624,Germany,enterprise,2021-02-24
625,Spain,consumer,2022-10-14
626,Netherlands,consumer,2022-09-22
627,France,enterprise,2021-10-04
628,Sweden,consumer,2022-06-10
629,Germany,consumer,2023-03-02
630,Australia,consumer,2023-09-30
631,Sweden,consumer,2022-12-20
632,UK,consumer,2024-08-30
633,Brazil,smb,2024-02-24
634,France,mid-market,2021-12-14
635,,consumer,2021-06-05
636,Canada,consumer,2024-07-06
637,Japan,smb,2024-07-13
638,,consumer,2024-07-30
639,UK,smb,2021-09-26
640,Germany,consumer,2023-09-02
641,Spain,consumer,2023-08-10
642,UK,mid-market,2024-11-14
643,UK,mid-market,2021-01-03
644,Brazil,smb,2023-03-05
645,Germany,smb,2021-09-17
646,Australia,smb,2022-01-27
647,Sweden,enterprise,2024-05-08
648,Japan,smb,2021-09-12
649,Germany,smb,2022-09-16
650,Sweden,smb,2022-06-28
651,Australia,consumer,2024-02-12
652,Germany,consumer,2021-07-07
653,Japan,consumer,2021-03-04
654,Spain,consumer,2023-04-15
655,Japan,consumer,2024-07-20
656,Italy,smb,2021-07-04
657,Japan,consumer,2021-05-08
658,France,enterprise,2022-11-19
659,Spain,mid-market,2022-08-04
660,UK,smb,2024-01-10
661,Germany,consumer,2024-08-25
662,UK,consumer,2021-02-14
663,Spain,enterprise,2022-12-24
664,France,smb,2023-10-25
665,Sweden,mid-market,2022-02-17
666,Brazil,consumer,2024-10-25
667,Japan,consumer,2024-08-07
668,Sweden,smb,2023-12-12
669,France,smb,2023-02-09
670,USA,mid-market,2023-06-12
671,Italy,smb,2024-03-02
672,Italy,consumer,2023-07-05
673,Germany,consumer,2023-07-31
674,Japan,smb,2022-10-23
675,Brazil,smb,2022-08-28
676,Sweden,enterprise,2021-05-14
677,France,mid-market,2021-09-04
678,Japan,mid-market,2023-09-30
679,Germany,smb,2021-04-16
680,Italy,consumer,2022-10-29
681,Italy,smb,2024-03-02
682,Japan,mid-market,2023-07-21
683,UK,enterprise,2021-12-08
684,Germany,mid-market,2021-08-12
685,Spain,consumer,2023-06-02
686,Spain,smb,2024-04-15
687,Germany,consumer,2024-02-24
688,Germany,consumer,2024-07-03
689,Germany,enterprise,2022-02-09
690,Italy,consumer,2022-11-24
691,Spain,consumer,2023-02-08
692,Spain,smb,2022-03-21
693,Sweden,enterprise,2021-08-02
694,Germany,consumer,2021-09-20
695,,consumer,2024-05-15
696,Japan,smb,2022-07-20
697,Germany,smb,2021-05-15
698,UK,mid-market,2021-10-22
699,Germany,consumer,2023-08-06
700,UK,smb,2023-05-05
701,Spain,enterprise,2021-05-04
702,France,consumer,2024-10-15
703,USA,consumer,2022-10-22
704,Italy,consumer,2024-06-15
705,Sweden,mid-market,2021-04-27
706,UK,enterprise,2024-10-07
707,Australia,consumer,2024-10-29
708,Spain,consumer,2023-08-07
709,Australia,smb,2024-02-12
710,,consumer,2022-12-05
711,Brazil,smb,2023-09-19
712,Japan,smb,2023-06-28
713,USA,enterprise,2022-08-25
714,Canada,enterprise,2022-08-31
715,Spain,mid-market,2021-02-27
716,Italy,consumer,2022-12-27
717,Netherlands,mid-market,2022-08-26
718,Netherlands,mid-market,2022-03-12
719,USA,smb,2024-03-21
720,Australia,mid-market,2022-03-28
721,Netherlands,mid-market,2021-06-14
722,Canada,smb,2023-08-23
723,Italy,smb,2024-03-15
724,Netherlands,consumer,2023-07-13
725,Italy,consumer,2023-10-25
726,Australia,mid-market,2022-07-26
727,Japan,consumer,2021-06-12
728,Australia,consumer,2022-07-10
729,Brazil,consumer,2024-06-01
730,Japan,consumer,2023-08-28
731,Spain,consumer,2022-02-23
732,Italy,consumer,2023-08-05
733,Japan,consumer,2022-07-25
734,USA,enterprise,2022-02-16
735,Sweden,consumer,2023-08-07
736,USA,smb,2022-04-26
737,Brazil,consumer,2023-04-27
738,Italy,smb,2024-05-18
739,Italy,enterprise,2023-06-04
740,Italy,smb,2023-02-23
741,Italy,smb,2024-11-29
742,Spain,smb,2021-04-30
743,Italy,mid-market,2022-10-19
744,Brazil,mid-market,2024-10-10
745,Japan,smb,2021-06-06
746,Brazil,smb,2021-06-24
747,Netherlands,consumer,2024-11-15
748,Australia,mid-market,2024-04-07
749,Canada,mid-market,2023-06-17
750,France,mid-market,2022-11-18
751,Sweden,smb,2022-01-01
752,Germany,smb,2023-03-20
753,Germany,consumer,2022-06-17
754,Japan,consumer,2024-11-18
755,USA,mid-market,2022-04-09
756,Australia,consumer,2021-03-28
757,Japan,enterprise,2022-10-21
758,Canada,mid-market,2023-02-03
759,Sweden,smb,2023-09-23
760,Australia,enterprise,2021-01-30
761,France,consumer,2024-10-15
762,Australia,consumer,2023-10-08
763,France,consumer,2024-05-13
764,UK,smb,2021-06-08
765,France,consumer,2022-12-24
766,Spain,smb,2021-03-18
767,Sweden,enterprise,2022-03-31
768,UK,enterprise,2022-09-06
769,Japan,consumer,2022-11-03
770,Netherlands,consumer,2024-02-09
771,Netherlands,enterprise,2022-08-29
772,Canada,smb,2022-03-01
773,Italy,consumer,2021-01-13
774,Spain,consumer,2022-09-18
775,Canada,smb,2021-02-21
776,Brazil,consumer,2021-02-13
777,Netherlands,consumer,2022-10-26
778,UK,consumer,2023-02-26
779,Germany,mid-market,2024-05-07
780,Germany,consumer,2023-11-04
781,Germany,enterprise,2021-05-20
782,Germany,consumer,2024-05-13
783,Sweden,enterprise,2023-04-29
784,USA,mid-market,2022-02-10
785,Netherlands,enterprise,2023-12-15
786,Canada,smb,2021-01-01
787,Japan,mid-market,2022-04-23
788,Spain,mid-market,2024-10-22
789,USA,smb,2023-12-05
790,Australia,smb,2021-12-10
791,USA,consumer,2021-06-13
792,Sweden,consumer,2021-03-11
793,Sweden,consumer,2021-06-30
794,Germany,mid-market,2024-08-15
795,Sweden,mid-market,2021-12-26
796,Germany,consumer,2024-06-24
797,Germany,enterprise,2024-08-12
798,Japan,smb,2022-02-19
799,Canada,consumer,2022-12-31
800,UK,consumer,2022-04-25
801,Canada,smb,2021-06-30
802,Australia,consumer,2024-08-23
803,Japan,smb,2022-10-19
804,France,consumer,2021-07-25
805,UK,enterprise,2023-02-24
806,Sweden,mid-market,2022-10-25
807,Canada,consumer,2022-12-02
808,Japan,mid-market,2021-04-09
809,Italy,consumer,2024-09-20
810,Germany,smb,2021-05-22
811,Canada,consumer,2021-08-20
812,UK,consumer,2021-08-26
813,Spain,smb,2023-04-06
814,Canada,consumer,2022-11-05
815,Brazil,mid-market,2023-06-09
816,UK,smb,2023-11-28
817,USA,mid-market,2021-05-26
818,Italy,consumer,2022-11-20
819,Canada,consumer,2022-01-04
820,Italy,consumer,2024-07-07
821,Sweden,consumer,2021-09-30
822,UK,consumer,2022-04-09
823,Japan,mid-market,2020-11-27
824,Japan,consumer,2024-05-20
825,Netherlands,smb,2022-10-01
